# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs201158093-TAA	rs201158093-TA	Matrix_ID	Matrix_name
1	0.346188325830806	0.243501324915469	0.540368039516557	M00056	V$MYOGNF1_01
2	-0.34606224137135	5.14727803737625e-05	2.32014638411604e-05	M00925	V$AP1_Q6_01
3	-0.302947437578906	0.202253231542472	0.100681118538281	M01000	V$AIRE_02
4	-0.247813258170613	0.395129338074701	0.223319177048702	M00460	V$STAT5A_02
5	0.231003651878037	0.0209493664714245	0.0356594422352474	M00987	V$FOXP1_01
6	0.210409074004017	0.0344925760023513	0.0559931246883564	M01183	V$BCL6_01
7	-0.147935247211514	0.873225099823668	0.62114209609665	M00023	V$HOX13_01
8	0.146726928760569	0.0475311442350151	0.0666354290083692	M01247	V$NANOG_02
9	-0.14011152123732	0.0446571708452478	0.0323429541144363	M00991	V$CDX_Q5
10	0.119893915152951	0.01415471645266	0.0186549929457813	M00456	V$FAC1_01
11	0.0800592991918168	0.0790782309447765	0.0950859268999541	M01590	V$SMAD1_01
12	0.0748170568716044	0.112219248439718	0.133316656311093	M01420	V$NCX_02
13	0.0727510737229718	0.153306910207181	0.181264519675993	M01432	V$HOXD8_01
14	0.0612338174792627	0.136211852552737	0.156837068839565	M01011	V$HNF1_Q6_01
15	0.0552477789414629	0.0622560311885085	0.0707015947641706	M01483	V$DBX1_01
16	-0.0505693778579202	0.315704475739437	0.281003261783707	M01429	V$HOMEZ_01
17	-0.0493113988443751	0.34281631259634	0.306020189959241	M00006	V$MEF2_01
18	0.0463040053696615	0.0430045516356541	0.0478430027695042	M01594	V$TCF3_01
19	-0.0436692312987881	0.0019344627279545	0.00174940810838375	M00926	V$AP1_Q4_01
20	0.0413182939466066	0.0132452484580184	0.014567277830562	M01653	V$HMGIY_01
21	0.041258494648846	0.173825681572072	0.191149178362073	M00790	V$HNF1_Q6
22	0.03969051336576	0.135055011443855	0.147979384778072	M01151	V$DMRT7_01
23	0.0396243996762209	0.0210146877015212	0.023022227438357	M00081	V$EVI1_04
24	0.0394878560401929	0.488287397584563	0.534765488022086	M01260	V$STAT1_05
25	-0.0366917642633471	0.0275172021974773	0.0252878851730001	M00486	V$PAX2_02
26	0.0330073888797944	0.0689799921901867	0.0744270027279014	M01252	V$E2F6_01
27	0.0298035229204398	0.429375414209604	0.459875948183587	M00453	V$IRF7_01
28	0.0296323734550463	0.534652043541234	0.572405244985009	M00957	V$PR_02
29	0.0294658033750649	0.0983652330084409	0.105270680033894	M00972	V$IRF_Q6_01
30	0.0287910195804413	0.0314206904395753	0.033574282751643	M00791	V$HNF3_Q6
31	0.0262377735225925	0.0931171478934101	0.0989162034000957	M00477	V$FOXO3_01
32	-0.0251259861835518	0.584713366286855	0.551844902885924	M00956	V$AR_03
33	0.0248452497241661	0.65290216959775	0.691342668283149	M00955	V$GR_01
34	0.0201640969525514	0.344263438373195	0.36062430951551	M01082	V$BRCA_01
35	-0.0183536374700903	0.00113117130672213	0.00108436313082139	M00992	V$FOXP3_Q4
36	0.0181342248040299	0.645422868369612	0.672943455512258	M00954	V$PR_01
37	0.016681807119693	0.0101023789218806	0.0104979732353887	M00980	V$TBP_Q6
38	0.0161725191830818	0.110525257484361	0.114718657106272	M00476	V$FOXO4_02
39	-0.016120761695269	0.783127112873969	0.754590786807326	M00810	V$SRF_Q4
40	0.0144311002617346	0.0280209604371864	0.0289677068754753	M01012	V$HNF3_Q6_01
41	0.0144263039443043	0.179827073673037	0.185900852350804	M01599	V$FOXP3_01
42	0.0143562686088542	0.267490021957337	0.276480085437964	M01279	V$IRF3_Q3
