# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs547171081-CGG	rs547171081-C	Matrix_ID	Matrix_name
1	3.31291881394706	0.000260631124617605	0.535728920777495	M00444	V$VDR_Q3
2	1.7869852458961	0.00982692367056093	0.601731613189306	M00966	V$DR3_Q4
3	1.22531758223222	0.000940768076348686	0.0158052057586978	M01118	V$WT1_Q6
4	1.05159497231232	0.000435064437181554	0.00489946384480289	M01104	V$MOVOB_01
5	0.828093858501578	0.00836567520984821	0.0563112098081205	M00084	V$MZF1_02
6	0.782006496408465	0.00470415445710071	0.0284765957053076	M01219	V$SP1SP3_Q4
7	0.71890483369591	0.0283201515491435	0.148251947364674	M00115	V$TAXCREB_02
8	0.497041473915534	0.195559522951938	0.614215035028318	M00257	V$RREB1_01
9	0.328280673745769	0.0546694681029869	0.116419444383485	M01597	V$ZFP281_01
10	-0.285669846456519	0.758320298827226	0.392810270974616	M00380	V$PAX4_04
11	0.245468452408596	0.0778817563436184	0.137057936622396	M01303	V$SP1_02
12	-0.237405170442766	0.51113948535591	0.295892706912225	M00312	V$BEL1_B
13	-0.235822113510847	0.109799507843826	0.0637937717173496	M01068	V$UF1H3BETA_Q6
14	0.224171983588602	0.394926113664115	0.66174068259929	M00518	V$PPARA_02
15	0.21831220429538	0.361827639982039	0.59815528432247	M01001	V$DEAF1_01
16	-0.195704371511062	0.436156529610738	0.277931650878518	M00144	V$PAX5_02
17	0.189177660463512	0.0268412161709733	0.0414934790627393	M00986	V$CHCH_01
18	0.18765501899931	0.0915395760983592	0.141014546793895	M00933	V$SP1_Q2_01
19	0.174826557366785	0.131804343032196	0.197131614202797	M00449	V$ZIC2_01
20	0.162283045171985	0.163945924483646	0.238222989417572	M00720	V$CACBINDINGPROTEIN_Q6
21	0.159761057009639	0.0603785103701656	0.0872254966865667	M01113	V$CACD_01
22	0.157725992840987	0.306113563823432	0.440157966212897	M00929	V$MYOD_Q6_01
23	0.153258484046188	0.489998015052928	0.697353210689769	M00321	V$MUSCLE_INI_B
24	-0.14344055012695	0.590612527709181	0.424484761875729	M00329	V$PAX9_B
25	0.133984420948131	0.145121083324282	0.1975672399281	M00932	V$SP1_Q4_01
26	0.131973278477305	0.121162228499485	0.164187666694609	M01273	V$SP4_Q5
27	-0.13177492167598	0.00148116561159151	0.00109352495590631	M00471	V$TBP_01
28	0.127216006564306	0.617887325130405	0.828181057819463	M00273	V$R_01
29	0.115997334093025	0.151912593493185	0.198422589145036	M00807	V$EGR_Q6
30	0.113025978595062	0.737016025808234	0.956099101215926	M00143	V$PAX5_01
31	0.109148132856694	0.0948098579657608	0.121899417074623	M01175	V$CKROX_Q2
32	0.104143910520704	0.394369537278551	0.501241789029957	M00196	V$SP1_Q6
33	0.097683398634939	0.177367189492438	0.222104154923717	M00706	V$TFIII_Q6
34	0.0956675133716974	0.314244633451865	0.391683595753697	M01588	V$GKLF_02
35	0.0949949846218591	0.155667782301302	0.193728592400426	M00649	V$MAZ_Q6
36	0.092528035420547	0.745468917253817	0.922481309084523	M01264	V$TBX15_02
37	0.0886834569395733	0.498882131563722	0.611901342531072	M00515	V$PPARG_02
38	0.0884769562715569	0.419342151995704	0.514097480962693	M01248	V$DAX1_01
39	0.0848131439011	0.790788241129015	0.961331884313621	M01036	V$COUPTF_Q6
40	-0.0834850767281696	0.0223743269077274	0.0184614114896064	M01181	V$NKX32_01
41	0.08316725188598	0.661438097767838	0.80104415869999	M01263	V$TBX15_01
42	0.0819617750318541	0.420537103787493	0.507885827961095	M00650	V$MTF1_Q4
43	-0.0795996304459097	0.00780477026266668	0.00649771252950271	M01660	V$GABPALPHA_Q4
44	0.077249976751106	0.203061374625023	0.242592460058816	M00931	V$SP1_Q6_01
45	0.0730244982124785	0.288195985970023	0.340967060738808	M01657	V$GLI3_Q5_01
46	-0.0705142552821364	0.860583053443353	0.731608149394527	M00999	V$AIRE_01
47	-0.0695331401644432	0.847870225351644	0.722430784882572	M00200	V$CAAT_C
48	0.0693460646489404	0.263051491808299	0.308593542349285	M00448	V$ZIC1_01
49	0.0686708199520078	0.293713793122729	0.344029086215893	M01169	V$IK_Q5
50	0.0657388536729097	0.549346799658442	0.639124480097448	M00512	V$PPARG_01
51	0.0598778367797797	0.841750009186189	0.966186503443505	M01202	V$VDRRXR_01
52	0.0598000317988854	0.562996130985407	0.646108481535095	M01587	V$FPM315_01
53	-0.0595034758824813	0.0178517162153381	0.01556598108788	M00497	V$STAT3_02
54	-0.058462151501392	0.970936564579595	0.848650174828796	M00034	V$P53_01
55	0.0498292353582567	0.35119063272113	0.393887463840898	M00716	V$ZF5_01
56	0.0493903707010335	0.579073077568822	0.648819277132783	M00373	V$PAX4_01
57	0.0491804173740764	0.170387406741225	0.190817372074147	M00982	V$KROX_Q6
58	0.048303136267728	0.595323461415834	0.6653591512787	M00255	V$GC_01
59	0.0460432974755633	0.687571062388058	0.764470775790055	M00214	V$SEF1_C
60	-0.0402031466037359	0.930732054537311	0.848440760802589	M00262	V$STAF_01
61	0.0398989099701269	0.872053544352065	0.955965152876669	M00648	V$MAF_Q6
62	0.0390553452208823	0.725816900875666	0.79411321248225	M00323	V$MINI19_B
63	0.0387888799012827	0.491795128432902	0.537740940405259	M00378	V$PAX4_03
64	-0.037871778251926	0.0256074019700402	0.0234689543699328	M00971	V$ETS_Q6
65	-0.0377842221530413	0.565729046850138	0.518590140462838	M01259	V$CTCF_02
66	0.0369491349891979	0.481158927286519	0.523887073818857	M00446	V$SPZ1_01
67	0.0369238067744239	0.631544176454635	0.687586817244663	M01037	V$GLI_Q2
68	0.03614229478373	0.0237332482047803	0.025792858520031	M01122	V$ZNF219_01
69	-0.0347475651782907	0.919610432136022	0.848899590570483	M00538	V$HTF_01
70	0.0334280650727777	0.207451545292593	0.22404989219419	M00450	V$ZIC3_01
71	0.0322472854415756	0.0482735104039168	0.0519943516265867	M01231	V$ZNF515_01
72	0.0319456821915655	0.438127502182476	0.471570031632732	M00695	V$ETF_Q6
73	0.0295882509888885	0.75661767516959	0.809962166777922	M00324	V$MINI20_B
74	0.0291912804228214	0.754025555995075	0.806449813798821	M00800	V$AP2_Q3
75	0.0289068774402048	0.433615129577566	0.463458983236136	M00915	V$AP2_Q6_01
