# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs11480453-C	rs11480453-CA	Matrix_ID	Matrix_name
1	0.145867195347445	0.309384126343274	0.432877709381996	M00056	V$MYOGNF1_01
2	-0.13466337527521	0.022108502354201	0.0162142158000522	M00456	V$FAC1_01
3	0.13210369570671	0.581583919530814	0.788344579278796	M00023	V$HOX13_01
4	0.118859341469763	0.381836373608362	0.50203805487086	M01007	V$SRF_Q5_02
5	-0.107504971688192	0.0554620698839333	0.0433003196138761	M01183	V$BCL6_01
6	0.0945271675293338	0.149437119571842	0.185774309340651	M01011	V$HNF1_Q6_01
7	0.0809831580808328	0.187532175977987	0.225974248589165	M01260	V$STAT1_05
8	-0.0588815820354325	0.0362172727391215	0.0316252641466458	M01247	V$NANOG_02
9	0.0550365428927432	0.70598633020203	0.801369547393375	M00098	V$PAX2_01
10	-0.0510375949258481	0.0569685971659185	0.0506521553629883	M00791	V$HNF3_Q6
11	-0.0484042733128868	0.110000387219283	0.0983988313825471	M01483	V$DBX1_01
12	-0.0476873693954428	0.121028959621688	0.108443101661767	M01653	V$HMGIY_01
13	-0.047602441598682	0.0655261706725255	0.0587235560952933	M00130	V$FOXD3_01
14	-0.0445800171747925	0.175000758460607	0.157928283010273	M00474	V$FOXO1_02
15	0.0432174487467374	0.544411577914707	0.601374212840782	M00955	V$GR_01
16	-0.0418978249582608	0.286438593165472	0.26009602025297	M00290	V$FREAC2_01
17	-0.0414526807226253	0.299717626387787	0.272432931625786	M01399	V$HB24_01
18	-0.0382393403684985	0.20828588645704	0.190730656043186	M01426	V$HOXB9_01
19	-0.037909128517527	0.109081491202431	0.0999636114628037	M00980	V$TBP_Q6
20	-0.0372490118458505	0.129363182675212	0.118730331390632	M00809	V$FOX_Q2
21	0.0350696336731288	0.877521129561964	0.951321290163959	M00256	V$NRSF_01
22	-0.0334465086174038	0.106552588867336	0.0986546357544992	M00477	V$FOXO3_01
23	-0.0332733934722742	0.032366008838641	0.0299789042420838	M01590	V$SMAD1_01
24	-0.0328619740674067	0.136733380858004	0.126768858058125	M01151	V$DMRT7_01
25	-0.0325213915452516	0.0339252015467367	0.0314775588750763	M01594	V$TCF3_01
26	-0.0324118053577825	0.226405319402295	0.210123594281806	M00991	V$CDX_Q5
27	-0.0317851096345678	0.0593126261462049	0.0551267061332199	M00987	V$FOXP1_01
28	-0.0310006694546978	0.0114178166070857	0.0106312025757443	M00233	V$MEF2_04
29	-0.0306615316497747	0.0800884204055158	0.0746290986653267	M01216	V$FOXO1_Q5
30	-0.0305255957573993	0.426180185457715	0.397253432349366	M01449	V$CDX2_01
31	-0.0297148096949738	0.624141513476321	0.582865379203884	M00954	V$PR_01
32	-0.0274086263725883	0.106380319197272	0.0998740503187718	M00268	V$XFD2_01
33	-0.0264779363653498	0.131737544706364	0.123945746799392	M00476	V$FOXO4_02
34	-0.0260254637053257	0.198846154938883	0.187280143648974	M00422	V$FOXJ2_01
35	0.0258236588740484	0.923797516146783	0.980393558375581	M01002	V$DEAF1_02
36	-0.0255167804855702	0.143667794286941	0.135469848044732	M00081	V$EVI1_04
37	-0.0252378591293625	0.20271515584289	0.191270661770841	M00424	V$NKX61_01
38	-0.025114360364114	0.570587676805153	0.538527675975627	M00957	V$PR_02
39	-0.0248468942837454	0.0965656752054003	0.0911960204354958	M01012	V$HNF3_Q6_01
40	-0.0247934384623187	0.382087051659144	0.360885042128569	M01373	V$CDX1_01
41	-0.0237574777973919	0.096281607835303	0.0911561252127702	M00972	V$IRF_Q6_01
42	-0.0222833135732677	0.465834405600692	0.442535635110356	M00953	V$AR_02
43	-0.0215709382009612	0.13449119828533	0.127974347784208	M00232	V$MEF2_03
44	-0.0210431303404401	0.312895829032454	0.298096339842291	M01279	V$IRF3_Q3
45	-0.0208080308557665	0.0484005293789763	0.0461362276018492	M01252	V$E2F6_01
46	0.0202045886706887	0.93799611058582	0.982665313086246	M01001	V$DEAF1_01
47	0.020151764722262	0.81126846028521	0.849799276382832	M01257	V$SRF_02
48	-0.0199831062988182	0.536114191545341	0.512004994376057	M01454	V$HOXC5_01
49	-0.0196527486561188	0.450469016042024	0.430538681259577	M01336	V$HOXA7_02
50	-0.0195623195632475	0.193212593630616	0.184702643345867	M00129	V$HFH1_01
51	0.0191830963397006	0.0020078314743317	0.00209850667126699	M00415	V$AREB6_04
52	0.0191061576838336	0.324705156241204	0.339308971575609	M01357	V$PBX1_04
53	-0.0185609822468848	0.131976812811415	0.12645518866452	M01464	V$HOXA10_01
54	-0.018557582406052	0.0833239067955394	0.079838439919993	M01137	V$FOXO3A_Q1
55	0.0178672294182771	0.000922402706097558	0.000961142536334392	M01082	V$BRCA_01
56	-0.0176034846717599	0.156435402319358	0.150221314789637	M00742	V$HFH4_01
57	-0.0174691423222723	0.19282926498719	0.185226791321281	M00724	V$HNF3ALPHA_Q6
58	-0.0174685356512873	0.111540241552848	0.107142813140718	M01654	V$DRI1_01
59	-0.0169639156778496	0.19993496602721	0.192275893216195	M01599	V$FOXP3_01
60	-0.016695528830212	0.179752314075405	0.172973256279666	M01292	V$HOXA13_01
61	-0.0165884591981889	0.390559739281271	0.375923099636084	M01413	V$HMX3_02
62	-0.0163651941300001	0.910723201261739	0.877043645977007	M00057	V$COMP1_01
63	-0.0152462876506633	0.317021814227758	0.306085572466199	M00082	V$EVI1_05
64	0.0150869769579007	0.0637552557045081	0.0660089719421871	M00313	V$GEN_INI2_B
65	0.0144613581060327	0.0521095744337203	0.0538739581414927	M00314	V$GEN_INI3_B
66	-0.0144574756734355	0.154435068308963	0.149378622014378	M00131	V$HNF3B_01
67	0.0143670327966469	0.488928536959149	0.505373446072587	M00922	V$SRF_Q5_01
68	-0.0140741904671516	0.209355163038865	0.202679341822609	M00293	V$FREAC7_01
69	0.0138050826279925	0.0778781915958112	0.0803935008170246	M00315	V$GEN_INI_B
70	0.0130408589604567	0.166167423181899	0.17123271554344	M00292	V$FREAC4_01
71	-0.0129661993045345	0.228272992309717	0.221558457286712	M00377	V$PAX4_02
72	-0.0128483831618048	0.177157433606592	0.171993089229809	M00160	V$SRY_02
73	-0.012788197358749	0.3250770602494	0.315644427332249	M00930	V$OCT1_Q5_01
74	-0.0127875914541551	0.397930441262674	0.386384389568884	M01255	V$IPF1_05
75	-0.0124485599727878	0.3368484107401	0.327330099650098	M00639	V$HNF6_Q6
76	0.012186076035421	0.174214636278349	0.17917223642571	M00500	V$STAT6_02
77	-0.0120803057824889	0.371186658966185	0.361004032260634	M01406	V$HOXC6_01
78	0.0120123159743102	0.501387238969227	0.515448870523175	M00810	V$SRF_Q4
79	0.0111526705519951	0.100379064935339	0.102990179795683	M00792	V$SMAD_Q6
80	0.0102850265859931	0.0918146422944481	0.0940149616339927	M00285	V$TCF11_01
81	-0.00990434777269616	0.316494905632047	0.309358729977443	M01297	V$HOXA13_02
82	-0.00957614050152178	0.0691327841201286	0.0676250978738321	M01272	V$SOX2_Q6
83	0.00950759166146531	0.176454195599581	0.180359731796591	M00630	V$FOXM1_01
84	-0.00943773813558346	0.183442206132624	0.179498790507925	M00473	V$FOXO1_01
85	-0.00933457348455125	0.140312233053748	0.137328590606653	M00772	V$IRF_Q6
86	0.00922955059046782	0.102358831657053	0.104557422989265	M00770	V$CEBP_Q3
87	0.00882364746324726	0.0295102970580062	0.030115995855485	M00405	V$MMEF2_Q6
88	-0.00881670125473011	0.30031144325901	0.294276227475615	M00489	V$NKX62_Q2
89	-0.00880646990550099	0.404701134985465	0.396577392055499	M01469	V$NKX61_02
90	-0.00871770995573284	0.439224083813284	0.430495321125606	M01416	V$HOXC9_01
91	-0.00870348508718488	0.31194997956224	0.305760567958852	M00289	V$HFH3_01
92	0.00853828646211086	0.146460295091871	0.149368215078773	M00912	V$CEBP_Q2_01
93	0.00847263267166043	0.0299228539849111	0.0305123491991315	M00447	V$AR_Q2
