# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs56391074-AT	rs56391074-A	Matrix_ID	Matrix_name
1	1.04951177297847	0.0795666461838055	0.891749399307994	M00105	V$CDPCR3_01
2	-0.560781806683609	0.845281024477473	0.232391004421733	M01081	V$ZEC_01
3	0.538859083144107	0.115951541832342	0.400991910214722	M00810	V$SRF_Q4
4	-0.465528190340981	0.553126135707674	0.189363376766466	M00212	V$POLY_C
5	0.357423488911892	0.128139412006021	0.291814061854583	M01183	V$BCL6_01
6	-0.343523776920154	0.763470120385433	0.346153134017657	M00200	V$CAAT_C
7	0.333309428618034	0.245268012248194	0.528384829445708	M00992	V$FOXP3_Q4
8	0.328474016268209	0.210595322225692	0.448665562749627	M00138	V$OCT1_04
9	-0.308822397086352	6.37890493984106e-05	3.13273553338433e-05	M00925	V$AP1_Q6_01
10	0.297910137193715	0.0570245628405851	0.113232762241959	M00231	V$MEF2_02
11	0.291203355129511	0.202098543355558	0.395154141881533	M00097	V$PAX6_01
12	-0.290248383849298	0.259374442242809	0.132947077922393	M00465	V$POU6F1_01
13	-0.279821046304077	0.292055238493392	0.153335937961187	M00145	V$BRN2_01
14	-0.277392940613176	0.991708549256797	0.523589726530009	M01002	V$DEAF1_02
15	0.258049718969989	0.179345390886931	0.324892689227615	M00403	V$AMEF2_Q6
16	0.243128479069939	0.161811811295323	0.283229638737345	M00057	V$COMP1_01
17	0.241315667456449	0.280131272840197	0.4882893612297	M00257	V$RREB1_01
18	0.188133094942493	0.322867002779899	0.497916773833362	M00802	V$PIT1_Q6
19	0.184675056640507	0.141297090260953	0.216176397460712	M00081	V$EVI1_04
20	0.184426319028284	0.213207692916319	0.326008699856884	M00476	V$FOXO4_02
21	0.172885162542699	0.606407153057289	0.902920426496787	M01172	V$PU1_Q4
22	-0.164841337910851	0.779745497258545	0.533471886758103	M00984	V$PEBP_Q6
23	0.159799756276726	0.170385093579538	0.246167861793701	M01075	V$PLZF_02
24	-0.158586601608401	0.269242581275201	0.186877555234919	M00267	V$XFD1_01
25	-0.157774484463684	0.267793202266731	0.186219460498023	M00232	V$MEF2_03
