# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs1800057-C	rs1800057-G	Matrix_ID	Matrix_name
1	1.10347977835278	0.0300407261180988	0.381232752047451	M01107	V$RUSH1A_02
2	-1.08288071320486	0.177958325471559	0.0147040712114431	M01429	V$HOMEZ_01
3	0.900579449266308	0.0802108952893708	0.637988445112146	M01343	V$PITX3_01
4	0.895273821588548	0.063039517063328	0.495320952062185	M01463	V$DOBOX5_01
5	-0.814636669292685	0.224975671524228	0.0344745723471833	M00102	V$CDP_02
6	0.810352867617574	0.0901288261213807	0.582393584526198	M01447	V$PITX2_01
7	-0.789627915192496	0.397574854844364	0.0645343579843631	M00631	V$FXR_Q3
8	-0.785975709610835	0.223235070514667	0.036541528893748	M01237	V$TRF1_01
9	0.783680783183894	0.0508322176231083	0.308901373941207	M00319	V$MEF3_B
10	0.767292913387039	0.101825857444118	0.595869270725927	M01428	V$GSC_01
11	-0.749830203197816	0.397849098254019	0.0707763521066813	M00003	V$VMYB_01
12	-0.728678919033665	0.261385360793434	0.0488205133462478	M00103	V$CLOX_01
13	0.682462508826977	0.110889996859354	0.533770883618772	M01445	V$OBOX6_01
14	-0.675098249141041	0.356167875305143	0.0752586626119328	M00420	V$MEIS1AHOXA9_01
15	-0.65801408960801	0.821641537341704	0.18057943792635	M00773	V$MYB_Q3
16	0.653388680509343	0.116900551315182	0.526265911550656	M01436	V$CRX_02
17	-0.638520388133505	0.949011079497788	0.218147828676992	M00004	V$CMYB_01
18	0.638364536657786	0.0878026008175072	0.381831643743073	M01403	V$OTX3_01
19	-0.6294604945556	0.606067925839268	0.142252794419546	M00913	V$MYB_Q5_01
20	-0.608038586296	0.313917574309367	0.0774064309596972	M00098	V$PAX2_01
21	-0.552240326354973	0.47985993676852	0.134547045655323	M01422	V$LHX61_02
22	-0.542624693954157	0.628753445933839	0.180241869908881	M01380	V$HOXD12_01
23	-0.538742162204231	0.899146894590155	0.260068939353614	M00360	V$PAX3_01
24	0.524996288370779	0.159314767502139	0.533644849875868	M00764	V$HNF4_DR1_Q3
25	-0.52490757531143	0.687129619871482	0.205178142897002	M01437	V$HOXC12_01
