# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs533722308-C	rs533722308-CT	Matrix_ID	Matrix_name
1	-0.407606714521766	0.335219348974266	0.131136130261872	M01000	V$AIRE_02
2	0.28345821859934	0.255953531299859	0.491608455880207	M00056	V$MYOGNF1_01
3	-0.250339045766403	0.0476765316406959	0.0267895616962419	M00456	V$FAC1_01
4	-0.203463255835512	0.0873183104003314	0.0546565314750322	M00233	V$MEF2_04
5	0.144333646602554	0.296466983132471	0.413342422641436	M00802	V$PIT1_Q6
6	-0.130547674956897	0.117225058498419	0.0867906184734206	M01010	V$HMGIY_Q3
7	-0.12781553287441	0.104636431139341	0.077959202142258	M00130	V$FOXD3_01
8	-0.126922510285624	0.191849838625354	0.143231627904379	M00331	V$TAACC_B
9	-0.123531739121264	0.040784085861382	0.0306873222074445	M01183	V$BCL6_01
10	-0.122826426927931	0.399591635063433	0.301154919060682	M01007	V$SRF_Q5_02
11	-0.109329942979933	0.172627524465833	0.134208523869474	M00407	V$RSRFC4_Q2
12	-0.105023685530418	0.334220862287165	0.262427818232664	M00810	V$SRF_Q4
13	-0.093265972212266	0.191408972331583	0.154417429719856	M00292	V$FREAC4_01
14	-0.0896640046848981	0.215190582798362	0.175048848023056	M00232	V$MEF2_03
15	-0.0885485840622336	0.17340416005559	0.141420031014612	M01375	V$HOXD10_01
16	-0.0840070535627085	0.174007415819248	0.143403814569866	M01351	V$HOXA9_01
17	-0.0823526921906919	0.7570010829974	0.626244332635359	M00235	V$AHRARNT_01
18	-0.0805431828629195	0.131614120459056	0.109335023589195	M00268	V$XFD2_01
19	-0.0787550180504735	0.30253629813873	0.252361134122305	M01260	V$STAT1_05
20	-0.0783537588488157	0.176159131192517	0.147079248055601	M00809	V$FOX_Q2
21	0.0755789696634896	0.000155722209143727	0.000185323087016798	M00770	V$CEBP_Q3
22	-0.0738389351249303	0.472297936919519	0.398453011333395	M01336	V$HOXA7_02
23	0.0698958428773758	0.170787161422407	0.200609300343924	M00231	V$MEF2_02
24	-0.0698303020760795	0.0358702336691875	0.030542452260949	M01594	V$TCF3_01
25	-0.0648727649623755	0.0833049580407523	0.071746064729144	M00081	V$EVI1_04
26	-0.0619903608068366	0.0156778582667068	0.0135924070917524	M01247	V$NANOG_02
27	-0.0584403327274474	0.0705388163651554	0.0616577731039095	M00791	V$HNF3_Q6
28	0.0579871531300441	0.245958148259366	0.281091923804295	M00294	V$HFH8_01
29	-0.0574362001785047	0.160091532141244	0.140259459453808	M00267	V$XFD1_01
30	-0.0564538435040295	0.65412812308698	0.574392787248292	M00992	V$FOXP3_Q4
31	0.0551508575871432	0.364239387616052	0.413559274445868	M01406	V$HOXC6_01
32	0.0542730559529854	0.381809874433156	0.432633566679546	M00023	V$HOX13_01
33	0.053138138272155	0.482281874232552	0.545053431598647	M00057	V$COMP1_01
34	-0.0524079878195054	0.305791697728821	0.271030210430423	M00290	V$FREAC2_01
35	-0.0513357111682918	0.154168971360951	0.136981293713287	M00476	V$FOXO4_02
36	-0.0504132270301941	0.15177880028086	0.135144348394261	M01483	V$DBX1_01
37	-0.0494741307608789	0.274876151192847	0.245280447838344	M01420	V$NCX_02
38	-0.0484350539785587	0.492815319188531	0.440807672915341	M01489	V$NKX61_03
39	-0.0476185305267568	0.121170680156042	0.108587295132326	M01137	V$FOXO3A_Q1
40	-0.0456933722560857	0.10867012233035	0.097817550604398	M01653	V$HMGIY_01
41	0.0453623331121603	0.900492353134681	0.999637091673117	M00256	V$NRSF_01
42	-0.0434402362376032	0.693428563332748	0.627424525170617	M00257	V$RREB1_01
43	0.0428421320072887	0.188111501970025	0.207614404996776	M01011	V$HNF1_Q6_01
44	0.0410641748633057	0.672065500588377	0.738713059776282	M00538	V$HTF_01
45	-0.0399360317833942	0.231708176878364	0.211351497028011	M00129	V$HFH1_01
46	0.0399229675542468	0.561783973101435	0.61587462776049	M01365	V$EN1_02
47	-0.0385567837302478	0.0940607219398197	0.0860699447161131	M01216	V$FOXO1_Q5
48	-0.0383577748359386	0.335484580471145	0.307124730998236	M00453	V$IRF7_01
49	-0.0341950461837156	0.266750978305263	0.246553387967119	M00424	V$NKX61_01
50	0.0338619929544686	0.0113974951100942	0.0123217220394647	M00912	V$CEBP_Q2_01
51	0.033691879007391	0.00585204268291484	0.00632410925356208	M00116	V$CEBPA_01
52	-0.0315727690820826	0.072661115597193	0.0675661685748697	M00980	V$TBP_Q6
53	0.0300057219235093	0.0152832827085069	0.0163765482327045	M01067	V$GFI1_Q6
54	-0.0291580211918873	0.570794679911435	0.533730345376459	M00956	V$AR_03
55	-0.0284929033855008	0.59358521757819	0.555891679345728	M01446	V$BARHL2_01
56	-0.028173652996256	0.351644801016105	0.329557005384879	M01409	V$LMX1_01
57	-0.0280072013380814	0.586414117841169	0.549790480679894	M00957	V$PR_02
58	0.0279359317590537	0.554648952962462	0.591499155957991	M01423	V$ARX_01
59	-0.0271016547240123	0.387806940155215	0.364345929720222	M00639	V$HNF6_Q6
60	0.0270138749056232	0.511284980569927	0.544097725034969	M00955	V$GR_01
61	-0.0261352104690082	0.566892345216262	0.533783791600497	M01486	V$DLX7_01
62	-0.0258698020959673	0.124044177294495	0.116870951799061	M00477	V$FOXO3_01
63	-0.025393779923788	0.0199385883824739	0.018806181700867	M01590	V$SMAD1_01
64	-0.0251284088688817	0.216922681337618	0.204727675367804	M00096	V$PBX1_01
65	0.0251027904341202	0.938852438205707	0.994718348342057	M00329	V$PAX9_B
66	-0.0239677711752653	0.698594106747013	0.661084761538147	M00098	V$PAX2_01
67	0.02259366698029	0.0978129263154883	0.103036220320065	M01272	V$SOX2_Q6
68	0.0225831531613923	0.493850645509947	0.520210098874912	M00953	V$AR_02
69	-0.021757951694246	0.350221124918342	0.333107481525713	M01465	V$PIT1_01
70	0.0203955089128049	0.387295337607552	0.405917502459111	M00406	V$HMEF2_Q6
71	-0.0200414006849389	0.577571379264953	0.551523806597789	M01470	V$NKX63_01
72	-0.0196718376189545	0.205747919046293	0.196636263805455	M00160	V$SRY_02
73	-0.0196588331660317	0.247101281543744	0.236165342403868	M01432	V$HOXD8_01
74	-0.0192652967160383	0.213177136817688	0.203927280737118	M00422	V$FOXJ2_01
