# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs11452686-T	rs11452686-TA	Matrix_ID	Matrix_name
1	0.287342495603682	0.153684689992611	0.29783319541727	M01075	V$PLZF_02
2	-0.178577210497489	0.0168383690282071	0.0111615064033986	M01183	V$BCL6_01
3	0.135754226977693	0.24286587145759	0.331986724273459	M00056	V$MYOGNF1_01
4	-0.127340853019147	0.0207706188374644	0.0154920390503468	M01010	V$HMGIY_Q3
5	-0.101630025240648	0.0428743767203147	0.0339287448958193	M01247	V$NANOG_02
6	-0.0969432434249056	0.0134166195455406	0.0107324744004789	M00456	V$FAC1_01
7	-0.0629321497979942	0.152565398088104	0.131984793349048	M01420	V$NCX_02
8	-0.0581422364738942	0.072533230304437	0.0634446174310084	M01483	V$DBX1_01
9	-0.0474679591117894	0.284546364319556	0.25508509438802	M01172	V$PU1_Q4
10	0.04267125069281	0.00491429154967826	0.00542165862767108	M00462	V$GATA6_01
11	-0.0422784932054596	0.0852590649204331	0.0773503123909765	M01653	V$HMGIY_01
12	-0.0409237550056772	0.14990650491351	0.136425867377817	M01151	V$DMRT7_01
13	-0.0371730662979484	0.0383806435129568	0.0352321532053764	M01590	V$SMAD1_01
14	-0.0359197258058808	0.0592100092538523	0.0545099022402784	M01012	V$HNF3_Q6_01
15	-0.0340348077550561	0.0394650949145798	0.0364903764605582	M00791	V$HNF3_Q6
16	-0.0323846902061129	0.710047671181107	0.659026407237463	M00957	V$PR_02
17	-0.0290051746842417	0.0522646588904244	0.0488880759712216	M00130	V$FOXD3_01
18	-0.0287275680816631	0.168333578293434	0.157558989679549	M00422	V$FOXJ2_01
19	-0.0260808445678189	0.0267395267743198	0.0251809941686049	M01594	V$TCF3_01
20	-0.0257016291576071	0.147676820411071	0.139190855444686	M00474	V$FOXO1_02
21	-0.0233000388981802	0.156819693229655	0.148627975110319	M00772	V$IRF_Q6
22	-0.0231471053549757	0.0653350449340521	0.0619439775371696	M01216	V$FOXO1_Q5
23	-0.021986024637439	0.0938499560539402	0.0892170890209959	M00477	V$FOXO3_01
24	-0.0202910466966808	0.863190516470117	0.823788288741576	M00954	V$PR_01
25	-0.0197611111247419	0.306446436938328	0.292815097445959	M01279	V$IRF3_Q3
26	-0.0183247298274	0.339352536681059	0.325331690651544	M01082	V$BRCA_01
27	-0.018183700906379	0.0423659011845164	0.0406286833124608	M01252	V$E2F6_01
28	0.0175709722731445	0.0270433713150493	0.0281599450810055	M00489	V$NKX62_Q2
29	0.0174710152218784	0.00855431874420542	0.00890546177335139	M00789	V$GATA_Q6
30	-0.0165934173132301	0.115513989676367	0.11118371130522	M00476	V$FOXO4_02
31	-0.0165517526711704	0.126312113618875	0.121588709688543	M00131	V$HNF3B_01
32	-0.0164257245206003	0.00179903469349274	0.00173226293945483	M00081	V$EVI1_04
33	0.0158964408403231	0.71852008930175	0.745307267462629	M00460	V$STAT5A_02
34	-0.0153424396641493	0.0836383932844867	0.0807352587793216	M00268	V$XFD2_01
35	-0.0143988532438231	0.100523526919303	0.0972453546212004	M00809	V$FOX_Q2
36	0.0130520557739964	0.962160156928868	0.991515310069215	M00380	V$PAX4_04
37	-0.0128010836685445	0.183932360774524	0.178589968796194	M00293	V$FREAC7_01
